global_rank,player_name,country,accuracy,play_count,performance_points,ss,s,a,level,hours,watched_by
1,mrekk,Australia,98.32,149409,24002,48,1125,1190,103,1897,2265925
2,lifeline,Indonesia,97.98,206229,21032,159,2637,2105,104,2409,218633
3,Rimuru,Latvia,98.17,266077,20690,33,807,1296,104,2451,126158
4,aetrna,Canada,97.96,163340,20010,141,649,1144,102,2136,1144
5,BlackDog5,Germany,98.67,42018,19513,56,487,787,101,747,3727222
6,shimon,Malaysia,98.77,250548,19431,104,1055,1955,102,2362,38760
7,Utami,United States,98.18,139844,19177,162,961,788,104,1864,145813
8,Mathi,Chile,99.32,237167,19017,162,2600,1875,110,3833,1226824
9,femboy tummy,Canada,98.97,258761,18875,283,3770,2100,107,3355,1264675
10,Arnold24x24,Peru,98.86,176232,18585,720,2135,1211,104,2364,363213
11,Chicony,Russian Federation,98.76,42939,18532,0,366,1297,101,801,14305
12,NyanPotato,Russian Federation,97.29,147866,18523,15,442,617,101,1633,114599
13,WindowLife,United States,98.55,129026,18202,29,513,840,101,1651,1198
14,Bocchi The Rock,South Korea,98.66,68185,18039,97,1422,1121,101,997,26169
15,Rafis,Poland,99.13,346952,18026,230,2616,1973,108,4184,2719045
16,maliszewski,Poland,99.17,109449,17974,1132,4056,574,105,2027,210917
17,Intercambing,Chile,99,157325,17894,192,2342,1664,104,2423,70082
18,Aricin,United States,98.98,178957,17854,87,1609,2034,106,2985,821733
19,ninerik,Norway,98.16,148415,17790,144,903,1083,102,1797,44912
20,ciru,United States,97.96,229214,17775,76,556,956,103,2360,28789
21,Varvalian,Japan,99.4,269307,17678,739,3214,2035,112,4571,373755
22,rudj,Jersey,98.96,289289,17581,67,1454,1009,102,2401,39166
23,Rupertion,Canada,99.57,127538,17546,530,2791,2155,106,2395,200132
24,gnahus,Poland,98.6,102910,17540,440,2117,913,102,1239,24087
25,mx10001,South Korea,99.32,171911,17530,220,1762,1347,106,2618,64687
26,ChocoPafe,Japan,98.37,193936,17483,84,1184,1456,102,2114,50170
27,Cookiezi,South Korea,99.34,53191,17463,162,1065,754,104,1290,7650375
28,enri,Philippines,98.65,194519,17202,329,1018,1149,102,1843,41647
29,xootynator,Canada,99.38,85415,17193,108,1401,1610,104,1658,449606
30,Leah Kate,United States,98.47,107121,17157,109,551,718,102,1358,8464
31,Apostol,Russian Federation,98.69,231997,17097,42,873,2335,104,2971,23213
32,MINHOCA LOKA,Brazil,97.8,153062,17036,22,454,902,101,1796,5130
33,Rektygon,United States,99,122657,16952,47,661,549,106,2385,60525
34,Kurumiw,Brazil,98.38,149480,16914,25,703,1056,101,1858,22505
35,FlyingTuna,South Korea,98.4,121763,16891,49,1025,987,103,1900,1344149
36,InBefore,Thailand,98.1,182303,16857,10,520,1426,102,2346,33551
37,derebanana,Australia,98.65,233682,16840,112,1305,1840,103,2918,150591
38,etn,Romania,99.17,67039,16837,1056,1867,1063,103,1084,96144
39,Milkteaism,Philippines,98.66,103611,16802,382,1065,1157,102,1451,18675
40,Reedkatt,Sweden,98.98,125755,16748,317,3368,2706,105,2258,62632
41,Andros,Sweden,98.54,92229,16729,40,799,887,103,1502,110865
42,nanoya,Romania,98.58,111404,16651,36,871,1094,103,1552,3776
43,Reused,United States,98.79,125578,16633,52,631,2008,102,1799,4339
44,Plasma,United Kingdom,98.24,74279,16554,103,758,1047,100,1137,9582
45,Umbre,Germany,99.62,325058,16512,388,1745,2596,109,4412,189021
46,ASecretBox,Australia,98.89,224409,16507,65,832,1542,104,2926,47790
47,LUCIANO,Netherlands,99.03,266544,16506,67,1130,2122,108,3485,16964
48,Micca,Austria,98.86,137325,16488,85,930,731,101,1607,140086
49,VoProSSoFF,Russian Federation,98.8,181549,16482,90,891,1384,103,2109,2605
50,Sytho,United States,97.62,290566,16474,153,531,605,102,2125,15430
51,Zaqqy,Australia,98.17,136565,16472,77,797,2522,101,1888,2231
52,A21,Hongkong,98.56,114318,16469,159,1409,1636,102,1665,82260
53,Spare,United Kingdom,99.28,214474,16406,925,3503,2945,107,3365,724821
54,Raikouhou,Turkey,99.24,105733,16392,79,683,1103,103,1464,8211
55,jordannlr7,Australia,99.03,129082,16311,187,1433,1785,103,1830,13244
56,Mastasz,Poland,99.36,166647,16310,443,3260,1581,105,2572,53625
57,idke,United States,99.26,71020,16307,26,766,697,108,1757,"704,267"
58,Paraqeet,United States,97.22,208440,16293,60,743,1621,101,2287,106423
59,sakuraskip,South Korea,99,35777,16282,12,433,626,100,480,928
60,badeu,Romania,97.55,140292,16265,292,2254,1570,104,2673,1242346
61,Zoomer,Australia,97.93,208530,16245,30,634,1294,103,2121,9248
62,nick1324,Canada,99.11,80235,16223,66,1201,1224,105,1702,11227
63,Karthy,United Kingdom,99.23,171096,16177,1018,4442,2909,108,3468,306980
64,zZ CreatorGD Zz,Spain,98.19,205881,16172,44,627,1007,101,1813,4106
65,NoSin,Brazil,98.28,88957,16168,138,1360,1620,102,1385,5676
66,kazamabc,Spain,98.62,257123,16161,119,1881,2031,105,3112,19989
67,Demonical,Singapore,98.44,226762,16028,65,1301,1759,105,2796,38629
68,Teacchyyy,Japan,98.65,84708,16016,245,978,859,102,1186,6127
69,Freddie Benson,United States,98.3,77202,16003,16,550,997,101,1195,213218
70,Milo Milkshake,Australia,99.15,163169,15970,165,2687,2976,105,2670,72048
